"#   HERMES Collaboration, A. Airapetian et al., JHEP12(2020)010  ",,,,,,,,,,,,,,,,
"#  A_UT^sin(phi+phis)/e SFA SSA in 3D bins of x, z, Pt",,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
particle,x_lower,x_upper,z_lower,z_upper,pT_lower,pT_upper,Q^2,Q,x,y,z,pT,e,Collins_asym,stat_u,syst_u
K+,0.098,0.138,0.49,0.7,0,0.23,2.471,1.5719,0.116,0.412,0.574,0.15,0.851,0.012061,0.076024,0.020969
K+,0.098,0.138,0.49,0.7,0.23,0.36,2.502,1.5818,0.116,0.418,0.577,0.296,0.845,0.128095,0.086341,0.01887
K+,0.098,0.138,0.49,0.7,0.36,0.54,2.701,1.6435,0.116,0.451,0.583,0.443,0.815,0.088469,0.092495,0.017536
K+,0.098,0.138,0.49,0.7,0.54,2,3.061,1.7496,0.115,0.514,0.588,0.752,0.752,0.130414,0.089442,0.027669
K+,0.138,0.6,0.2,0.28,0,0.23,5.151,2.2696,0.207,0.485,0.242,0.138,0.795,0.025855,0.065281,0.017937
K+,0.138,0.6,0.2,0.28,0.23,0.36,5.33,2.3087,0.208,0.505,0.243,0.292,0.773,0.055924,0.101138,0.004244
K+,0.138,0.6,0.2,0.28,0.36,0.54,5.061,2.2497,0.196,0.508,0.241,0.445,0.765,0.088435,0.133003,0.022602
K+,0.138,0.6,0.2,0.28,0.54,2,5.219,2.2845,0.211,0.493,0.246,0.645,0.779,-0.417045,0.316649,0.053034
K+,0.138,0.6,0.28,0.37,0,0.23,4.765,2.1829,0.204,0.449,0.323,0.142,0.825,0.037853,0.056346,0.004741
K+,0.138,0.6,0.28,0.37,0.23,0.36,5.007,2.2376,0.211,0.462,0.325,0.289,0.81,0.061363,0.075765,0.016063
K+,0.138,0.6,0.28,0.37,0.36,0.54,5.042,2.2454,0.203,0.488,0.325,0.443,0.783,0.063164,0.088828,7.00E-05
K+,0.138,0.6,0.28,0.37,0.54,2,4.694,2.1666,0.198,0.464,0.327,0.681,0.798,0.147585,0.152329,0.007149
K+,0.138,0.6,0.37,0.49,0,0.23,4.63,2.1517,0.204,0.435,0.424,0.15,0.836,0.077743,0.05662,0.004103
K+,0.138,0.6,0.37,0.49,0.23,0.36,4.625,2.1506,0.204,0.437,0.425,0.292,0.831,0.140204,0.063814,0.010874
